OM,OM_norm,Date,Site
29.4643,0.386363926,1720.051936,Beaver_Lake
42.8148,0.824173868,1722.613265,Hatch_Pond
45.2774,0.648671198,1724.46,Bates_Pond
29.2857,0.363632893,1724.707102,Beaver_Lake
29.6429,0.409094959,1726.25872,Beaver_Lake
45.037,0.989007158,1726.448644,Hatch_Pond
29.1071,0.340901859,1730.913575,Beaver_Lake
28.5714,0.272721488,1734.017123,Beaver_Lake
44.3677,0.568776238,1736.69,Bates_Pond
40.1481,0.626369469,1737.955983,Hatch_Pond
44.6819,0.596371046,1739.81,Bates_Pond
29.1071,0.340901859,1740.223907,Beaver_Lake
28.9286,0.318183554,1744.878762,Beaver_Lake
45.5513,0.672726634,1745.08,Bates_Pond
28.0357,0.204541116,1749.533928,Beaver_Lake
28.9286,0.318183554,1752.637165,Beaver_Lake
40.7407,0.670326002,1757.13528,Hatch_Pond
27.6786,0.159091777,1758.843949,Beaver_Lake
46.2524,0.734301172,1759.47,Bates_Pond
28.2143,0.227272149,1765.050734,Beaver_Lake
27.8571,0.181810083,1771.257518,Beaver_Lake
46.8051,0.782842388,1774.82,Bates_Pond
39.8519,0.60439862,1776.313377,Hatch_Pond
28.5714,0.272721488,1777.464303,Beaver_Lake
27.8571,0.181810083,1780.567539,Beaver_Lake
40.2963,0.637362311,1785.348657,Hatch_Pond
28.2143,0.227272149,1788.325942,Beaver_Lake
47.4321,0.837909048,1788.97,Bates_Pond
27.3214,0.113629711,1792.981108,Beaver_Lake
40.2963,0.637362311,1795.065417,Hatch_Pond
38.5185,0.505492712,1797.494227,Hatch_Pond
48.3002,0.914150463,1800.96,Bates_Pond
32.3459,1,1801.32,Joes_Pond
48.7442,0.953145035,1803.36,Bates_Pond
48.8733,0.964483322,1806.24,Bates_Pond
39.4074,0.571427512,1807.210988,Hatch_Pond
28.0357,0.204541116,1808.497914,Beaver_Lake
30.5357,0.522724669,1813.152768,Beaver_Lake
48.9456,0.970833114,1815.83,Bates_Pond
27.8571,0.181810083,1817.807934,Beaver_Lake
49.1486,0.988661713,1819.9,Bates_Pond
31.8886,0.960097727,1821.62,Joes_Pond
49.2777,1,1822.54,Bates_Pond
27.1429,0.090911405,1824.014719,Beaver_Lake
47.9988,0.887679823,1828.54,Bates_Pond
27.5,0.136360744,1828.669885,Beaver_Lake
47.3503,0.830724913,1830.46,Bates_Pond
31.7037,0,1831.501369,Hatch_Pond
26.9643,0.068180372,1833.32474,Beaver_Lake
46.0349,0.715199101,1834.05,Bates_Pond
